sog,ship_heading,wind_speed,wind_direction,air_temperature,air_pressure,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel,vessel_id,relative_wind_direction,wind_resistance
10.46,333.77,14.10429899,141.0433954,9.553333333,1022.2,11.555,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,159.46191296271448,0.0
10.4,334.25,14.10429899,141.0433954,9.553333333,1022.2,11.56,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,158.77880551505672,0.0
10.3,336.15,14.10429899,141.0433954,9.553333333,1022.2,11.565,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,155.94928797415372,0.0
10.29,337.13,14.10429899,141.0433954,9.553333333,1022.2,11.565,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,154.45399296095837,0.0
10.1,334.51,14.10429899,141.0433954,9.553333333,1022.2,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,158.73659564058906,0.0
9.61,327.69,14.10429899,141.0433954,9.553333333,1022.2,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,169.70709674516306,0.0
9.93,341.74,14.10429899,141.0433954,9.553333333,1022.2,11.565,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,148.0952538517985,0.0
9.09,355.18,14.10429899,141.0433954,9.553333333,1022.2,11.55,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,131.1867004673453,0.0
8.27,304.15,14.10429899,141.0433954,9.553333333,1022.2,11.56,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,-155.93035564517263,0.0
8.45,292.57,13.94269047,129.9664851,9.116666667,1022.233333,11.56,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,-155.00431878730095,0.0
9.24,344.32,13.94269047,129.9664851,9.116666667,1022.233333,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.5817332715405,0.0
9.4,343.58,13.94269047,129.9664851,9.116666667,1022.233333,11.575,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,131.20075432451645,0.0
9.37,341.39,13.94269047,129.9664851,9.116666667,1022.233333,11.575,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,134.16040814970302,0.0
9.3,341.0,13.94269047,129.9664851,9.116666667,1022.233333,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,134.82621479098802,0.0
9.3,340.89,13.94269047,129.9664851,9.116666667,1022.233333,11.565,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,134.97302014378113,0.0
9.3,339.27,13.94269047,129.9664851,9.116666667,1022.233333,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,137.14872192736752,0.0
9.31,343.47,13.94269047,129.9664851,9.116666667,1022.233333,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,131.53952728056106,0.0
9.17,341.02,13.94269047,129.9664851,9.116666667,1022.233333,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,135.0675521958632,0.0
9.03,338.29,13.94269047,129.9664851,9.116666667,1022.233333,11.58,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,139.0024176559456,0.0
8.91,338.3,13.94269047,129.9664851,9.116666667,1022.233333,11.58,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,139.2189009172012,0.0
8.89,344.36,13.94269047,129.9664851,9.116666667,1022.233333,11.58,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,131.2807929475213,0.0
8.88,345.04,15.41578297,123.8022785,9.4,1023.45,11.59,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,122.69403873711946,0.0
8.9,342.53,15.41578297,123.8022785,9.4,1023.45,11.59,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,125.75700208975016,0.0
8.83,342.82,15.41578297,123.8022785,9.4,1023.45,11.585,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,125.55141553486406,0.0
8.8,342.27,15.41578297,123.8022785,9.4,1023.45,11.585,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,126.30444409410246,0.0
8.8,340.23,15.41578297,123.8022785,9.4,1023.45,11.585,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,128.8729793707066,0.0
8.77,339.33,15.41578297,123.8022785,9.4,1023.45,11.58,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.08215256777578,0.0
8.8,338.24,15.41578297,123.8022785,9.4,1023.45,11.58,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,131.41431806160114,0.0
8.85,340.24,15.41578297,123.8022785,9.4,1023.45,11.575,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,128.75181604301582,0.0
8.85,342.84,15.41578297,123.8022785,9.4,1023.45,11.575,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,125.48184546723758,0.0
8.9,343.06,15.41578297,123.8022785,9.4,1023.45,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,125.09585709719062,0.0
8.9,342.31,15.41578297,123.8022785,9.4,1023.45,11.575,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,126.032188686442,0.0
8.91,339.88,15.41578297,123.8022785,9.4,1023.45,11.57,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,129.0793322550024,0.0
16.7,0.0,15.66577596,129.1483461,9.593333333,1023.033333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,90.94646976469731,0.0
