sog,vessel_id,ship_heading,wind_speed,wind_direction,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel
11.05,1004,339.52,12.011447812875629,138.75301611481217,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11,1004,335.47,12.011447812875629,138.75301611481217,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.97,1004,332.17,12.011447812875629,138.75301611481217,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.29,1004,330.43,12.011447812875629,138.75301611481217,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.01,1004,322.41,12.011447812875629,138.75301611481217,11.42,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,323,12.011447812875629,138.75301611481217,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,323.01,12.011447812875629,138.75301611481217,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,321.88,12.011447812875629,138.75301611481217,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,321.74,12.011447812875629,138.75301611481217,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,323.31,12.011447812875629,138.75301611481217,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.12,1004,323.32,12.011447812875629,138.75301611481217,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.2,1004,321.7,12.011447812875629,138.75301611481217,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.14,1004,321.71,7.897398696308788,122.373125155953,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.26,1004,321.85,7.897398696308788,122.373125155953,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.36,1004,322.96,7.897398696308788,122.373125155953,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.39,1004,321.87,7.897398696308788,122.373125155953,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.3,1004,321.87,7.897398696308788,122.373125155953,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.3,1004,321.88,7.897398696308788,122.373125155953,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.25,1004,320.46,7.897398696308788,122.373125155953,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.21,1004,319.01,7.897398696308788,122.373125155953,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.3,1004,320.47,7.897398696308788,122.373125155953,11.395,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.29,1004,319.03,7.897398696308788,122.373125155953,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.16,1004,320.49,7.897398696308788,122.373125155953,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11,1004,322.01,7.897398696308788,122.373125155953,11.385,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.9,1004,321.87,10.354520819715288,46.50610188736445,11.39,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
10.95,1004,320.51,10.354520819715288,46.50610188736445,11.385,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.38,1004,321.95,10.354520819715288,46.50610188736445,11.4,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.4,1004,321.96,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.4,1004,320.53,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.3,1004,320.54,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.25,1004,321.86,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.1,1004,320.56,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11.02,1004,320.57,10.354520819715288,46.50610188736445,11.405,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
11,1004,321.88,10.354520819715288,46.50610188736445,11.41,A,13,7.55,42.8,18.7,42.15,1403.003248,CC,LB
